GEOID,NAME,period,ndvi_anomaly,lst_anomaly
06101,Sutter,2017-19,8.773737531483074E-4,0.5937569035092984
06091,Sierra,2017-19,0.0289693276497374,-0.9742841938216844
06009,Calaveras,2017-19,-0.012394234856785811,0.08495215385709581
06043,Mariposa,2017-19,-0.04345263451280463,0.626740533045114
06105,Trinity,2017-19,-0.00998201852707595,0.5857926495362182
06027,Inyo,2017-19,7.224984769977044E-4,0.2656186312269685
06051,Mono,2017-19,0.013681723833191887,-0.44971199021724445
06003,Alpine,2017-19,0.010861073533612957,-0.8770901325801518
06011,Colusa,2017-19,-0.011410948029263051,0.5203682427962271
06049,Modoc,2017-19,0.013625848433228335,-1.070791465558057
06063,Plumas,2017-19,0.022315740082311478,-0.4403830957890473
06093,Siskiyou,2017-19,-0.009660354441111936,0.15605566371630558
06021,Glenn,2017-19,-0.00471544725474287,-0.010020030663151326
06005,Amador,2017-19,0.00859604859821257,-0.34762886032128
06029,Kern,2017-19,-0.008060249866094408,0.2888381264582724
06007,Butte,2017-19,-0.005839501505017509,0.49869200476508707
06033,Lake,2017-19,-0.05878900400280053,1.9502185554435774
06015,Del Norte,2017-19,-0.007106916012714872,0.273517192459946
06025,Imperial,2017-19,-0.006663375103273701,0.7494901699628671
06023,Humboldt,2017-19,0.01184118737189605,0.013708792039661234
06053,Monterey,2017-19,-0.004650997422494961,0.30865824784942036
06073,San Diego,2017-19,0.006103494992574645,0.22836056168487956
06079,San Luis Obispo,2017-19,-0.0037317472013443866,0.2275448866887078
06083,Santa Barbara,2017-19,-0.016781768729001733,0.9818561619351768
06109,Tuolumne,2017-19,-0.016525914302636058,0.15565370770565473
06035,Lassen,2017-19,0.020154202871277276,-1.2335168224636914
06045,Mendocino,2017-19,0.00857332749054999,0.15637481856417107
06037,Los Angeles,2017-19,-0.019533835692819062,1.143371876262686
06059,Orange,2017-19,-0.009969816768208684,0.8198882652264207
06111,Ventura,2017-19,-0.02904458691865379,1.757153048981595
06071,San Bernardino,2017-19,-0.005858377011134153,0.6355502609321383
06065,Riverside,2017-19,-0.004189122135638884,0.578490798459772
06047,Merced,2017-19,-9.205447123150576E-4,0.18374643764934334
06099,Stanislaus,2017-19,0.010889105416174624,-0.5185420851291933
06019,Fresno,2017-19,-0.02260838905991034,0.5598830036567589
06039,Madera,2017-19,-0.010186110250116637,-0.0955018927828426
06075,San Francisco,2017-19,0.019712960578718217,0.7570384084896383
06055,Napa,2020-22,-0.08956606954129434,3.896968259085294
06041,Marin,2020-22,-0.0202346040366834,1.5960922995719673
06013,Contra Costa,2020-22,-0.020862294045455008,2.358230997115002
06081,San Mateo,2020-22,-0.02958341562864648,1.4633712166292934
06001,Alameda,2020-22,-0.020458060838514876,2.327360736911079
06069,San Benito,2020-22,-0.024956475692702578,1.9787235671620678
06085,Santa Clara,2020-22,-0.0389843143767838,2.638023812404518
06087,Santa Cruz,2020-22,-0.049859046213592356,2.1320951022057058
06097,Sonoma,2020-22,-0.037008741519433154,2.057435705536435
06077,San Joaquin,2020-22,-0.007420361065283553,1.223782237884263
06095,Solano,2020-22,-0.019023808348757328,2.4366272176625556
06031,Kings,2020-22,-0.04964662278732356,3.2270442931707337
06107,Tulare,2020-22,-0.04150375121437875,2.4618880533949734
06103,Tehama,2020-22,-0.03866065160362446,2.5826335903728808
06089,Shasta,2020-22,-0.04008362166245467,2.5817541439498273
06067,Sacramento,2020-22,-0.018283726565706048,1.7038805312125802
06061,Placer,2020-22,-0.013938683864155511,1.8683340215968212
06017,El Dorado,2020-22,-0.03267943149422825,2.4378247280767664
06113,Yolo,2020-22,-0.04761009098305041,2.8834352767125484
06057,Nevada,2020-22,2.573070722685353E-4,1.5148645819587094
06115,Yuba,2020-22,-0.0065843214825723265,1.3819238418345063
06101,Sutter,2020-22,-0.04663791395041755,2.790588137694201
06091,Sierra,2020-22,0.011088814970519738,1.2631550678575043
06009,Calaveras,2020-22,-0.021522823332006752,2.2907834943211474
06043,Mariposa,2020-22,-0.05136880637289637,3.1090296177751893
06105,Trinity,2020-22,-0.05872004342297901,2.474505625470035
06027,Inyo,2020-22,-0.005958101416709989,1.046794532363459
06051,Mono,2020-22,-0.009066744000680188,1.3185760391077923
06003,Alpine,2020-22,-0.020022855253610472,2.0752914398053357
06011,Colusa,2020-22,-0.07627182648897443,4.009164175513272
06049,Modoc,2020-22,-4.198265505058611E-4,2.375485677531528
06063,Plumas,2020-22,-0.07192757747644854,3.6336780280637537
06093,Siskiyou,2020-22,-0.03842715858541062,2.3748990977706343
06021,Glenn,2020-22,-0.08555335340154364,4.094469699713173
06005,Amador,2020-22,-0.005646714060833848,1.8878380278796554
06029,Kern,2020-22,-0.019333826650297006,1.8609613992094485
06007,Butte,2020-22,-0.05931164341182664,2.7311371454202926
06033,Lake,2020-22,-0.09518519598176368,4.538731673597471
06015,Del Norte,2020-22,-0.011618994090571995,1.2288586884653645
06025,Imperial,2020-22,-0.001994140411425366,0.7892851761553503
06023,Humboldt,2020-22,0.010714391321611264,0.7613687640093088
06053,Monterey,2020-22,-0.027303742265407594,1.9793363720335369
06073,San Diego,2020-22,-0.004592557166011724,0.9866118291886938
06079,San Luis Obispo,2020-22,-0.017155973269085602,1.8754031063245462
06083,Santa Barbara,2020-22,-0.03460274111754685,2.18849386901029
06109,Tuolumne,2020-22,-0.022013906620282717,2.5756233479232487
06035,Lassen,2020-22,-0.013239843277636503,2.0096611043594312
06045,Mendocino,2020-22,-0.011481467511478802,1.6088580093562324
06037,Los Angeles,2020-22,-0.031175277299248974,2.7091460584161284
06059,Orange,2020-22,-0.017983929042591926,1.8251504646962429
06111,Ventura,2020-22,-0.05007963606446037,2.8329742706858125
06071,San Bernardino,2020-22,-0.00491552906124744,0.9800121259201534
06065,Riverside,2020-22,-0.008925872482087129,1.0416956388595668
06047,Merced,2020-22,-0.017608275607166442,1.5706555857759013
06099,Stanislaus,2020-22,-0.0128424285742931,1.3154981384566826
06019,Fresno,2020-22,-0.04417195839537694,2.7022139173657242
06039,Madera,2020-22,-0.03628012905740343,2.409862355165484
06075,San Francisco,2020-22,-0.004944080026422914,1.026358955855697
